Balancing Authority,Data Date,Hour Number,Local Time at End of Hour,UTC Time at End of Hour,Demand Forecast (MW),Demand (MW),Net Generation (MW),Total Interchange (MW),Sum(Valid DIBAs) (MW),Demand (MW) (Imputed),Net Generation (MW) (Imputed),Total Interchange (MW) (Imputed),Demand (MW) (Adjusted),Net Generation (MW) (Adjusted),Total Interchange (MW) (Adjusted),Net Generation (MW) from Coal,Net Generation (MW) from Natural Gas,Net Generation (MW) from Nuclear,Net Generation (MW) from All Petroleum Products,Net Generation (MW) from Hydropower Excluding Pumped Storage,Net Generation (MW) from Pumped Storage,Net Generation (MW) from Solar without Integrated Battery Storage,Net Generation (MW) from Solar with Integrated Battery Storage,Net Generation (MW) from Wind without Integrated Battery Storage,Net Generation (MW) from Wind with Integrated Battery Storage,Net Generation (MW) from Battery Storage,Net Generation (MW) from Other Energy Storage,Net Generation (MW) from Unknown Energy Storage,Net Generation (MW) from Geothermal,Net Generation (MW) from Other Fuel Sources,Net Generation (MW) from Unknown Fuel Sources,Net Generation (MW) from Coal (Imputed),Net Generation (MW) from Natural Gas (Imputed),Net Generation (MW) from Nuclear (Imputed),Net Generation (MW) from All Petroleum Products (Imputed),Net Generation (MW) from Hydropower Excluding Pumped Storage (Imputed),Net Generation (MW) from Pumped Storage (Imputed),Net Generation (MW) from Solar without Integrated Battery Storage (Imputed),Net Generation (MW) from Solar with Integrated Battery Storage (Imputed),Net Generation (MW) from Wind without Integrated Battery Storage (Imputed),Net Generation (MW) from Wind with Integrated Battery Storage (Imputed),Net Generation (MW) from Battery Storage (Imputed),Net Generation (MW) from Other Energy Storage (Imputed),Net Generation (MW) from Unknown Energy Storage (Imputed),Net Generation (MW) from Geothermal (Imputed),Net Generation (MW) from Other Fuel Sources (Imputed),Net Generation (MW) from Coal (Adjusted),Net Generation (MW) from Natural Gas (Adjusted),Net Generation (MW) from Nuclear (Adjusted),Net Generation (MW) from All Petroleum Products (Adjusted),Net Generation (MW) from Hydropower Excluding Pumped Storage (Adjusted),Net Generation (MW) from Pumped Storage  (Adjusted),Net Generation (MW) from Solar without Integrated Battery Storage (Adjusted),Net Generation (MW) from Solar witho Integrated Battery Storage (Adjusted),Net Generation (MW) from Wind without Integrated Battery Storage (Adjusted),Net Generation (MW) from Wind with Integrated Battery Storage (Adjusted),Net Generation (MW) from Battery Storage (Adjusted),Net Generation (MW) from Other Energy Storage (Adjusted),Net Generation (MW) from Unknown Energy Storage (Adjusted),Net Generation (MW) from Geothermal (Adjusted),Net Generation (MW) from Other Fuel Sources (Adjusted),Region
AECI,7/1/2024,1,7/1/2024 1:00,7/1/2024 6:00,1970,2093,2046,-47,-47,,,,2093,2046,-47,930,728,,,,,,,388,,,,,,,,,,,,,,,,,,,,,,,930,728,,,,,,,388,,,,,,,MIDW
AECI,7/1/2024,2,7/1/2024 2:00,7/1/2024 7:00,1838,1993,1939,-54,-54,,,,1993,1939,-54,762,757,,,,,,,420,,,,,,,,,,,,,,,,,,,,,,,762,757,,,,,,,420,,,,,,,MIDW
AECI,7/1/2024,3,7/1/2024 3:00,7/1/2024 8:00,1755,1902,1907,5,5,,,,1902,1907,5,671,812,,,,,,,424,,,,,,,,,,,,,,,,,,,,,,,671,812,,,,,,,424,,,,,,,MIDW
AECI,7/1/2024,4,7/1/2024 4:00,7/1/2024 9:00,1704,1879,1834,-45,-45,,,,1879,1834,-45,659,719,,,,,,,456,,,,,,,,,,,,,,,,,,,,,,,659,719,,,,,,,456,,,,,,,MIDW
AECI,7/1/2024,5,7/1/2024 5:00,7/1/2024 10:00,1714,1855,1857,2,2,,,,1855,1857,2,665,709,,,,,,,483,,,,,,,,,,,,,,,,,,,,,,,665,709,,,,,,,483,,,,,,,MIDW
AECI,7/1/2024,6,7/1/2024 6:00,7/1/2024 11:00,1777,1908,2002,94,94,,,,1908,2002,94,719,854,,,,,,,429,,,,,,,,,,,,,,,,,,,,,,,719,854,,,,,,,429,,,,,,,MIDW
AECI,7/1/2024,7,7/1/2024 7:00,7/1/2024 12:00,1911,2040,2163,123,123,,,,2040,2163,123,999,831,,,,,,,333,,,,,,,,,,,,,,,,,,,,,,,999,831,,,,,,,333,,,,,,,MIDW
AECI,7/1/2024,8,7/1/2024 8:00,7/1/2024 13:00,2041,2163,2434,271,271,,,,2163,2434,271,1265,847,,,,,,,322,,,,,,,,,,,,,,,,,,,,,,,1265,847,,,,,,,322,,,,,,,MIDW
AECI,7/1/2024,9,7/1/2024 9:00,7/1/2024 14:00,2159,2288,2519,231,231,,,,2288,2519,231,1505,705,,,,,,,309,,,,,,,,,,,,,,,,,,,,,,,1505,705,,,,,,,309,,,,,,,MIDW
AECI,7/1/2024,10,7/1/2024 10:00,7/1/2024 15:00,2286,2457,2678,221,221,,,,2457,2678,221,1530,904,,,,,,,244,,,,,,,,,,,,,,,,,,,,,,,1530,904,,,,,,,244,,,,,,,MIDW
AECI,7/1/2024,11,7/1/2024 11:00,7/1/2024 16:00,2431,2618,2960,342,342,,,,2618,2960,342,1545,1048,,,,,,,367,,,,,,,,,,,,,,,,,,,,,,,1545,1048,,,,,,,367,,,,,,,MIDW
AECI,7/1/2024,12,7/1/2024 12:00,7/1/2024 17:00,2592,2806,3202,396,396,,,,2806,3202,396,1604,1135,,,,,,,463,,,,,,,,,,,,,,,,,,,,,,,1604,1135,,,,,,,463,,,,,,,MIDW
AECI,7/1/2024,13,7/1/2024 13:00,7/1/2024 18:00,2761,2968,3196,228,228,,,,2968,3196,228,1631,1136,,,,,,,428,,,,,,,,,,,,,,,,,,,,,,,1631,1136,,,,,,,428,,,,,,,MIDW
AECI,7/1/2024,14,7/1/2024 14:00,7/1/2024 19:00,2913,3073,3212,139,139,,,,3073,3212,139,1600,1135,,,,,,,477,,,,,,,,,,,,,,,,,,,,,,,1600,1135,,,,,,,477,,,,,,,MIDW
AECI,7/1/2024,15,7/1/2024 15:00,7/1/2024 20:00,3052,3176,3404,228,228,,,,3176,3404,228,1798,1135,,,,,,,471,,,,,,,,,,,,,,,,,,,,,,,1798,1135,,,,,,,471,,,,,,,MIDW
AECI,7/1/2024,16,7/1/2024 16:00,7/1/2024 21:00,3192,3254,3486,232,232,,,,3254,3486,232,1881,1133,,,,,,,472,,,,,,,,,,,,,,,,,,,,,,,1881,1133,,,,,,,472,,,,,,,MIDW
AECI,7/1/2024,17,7/1/2024 17:00,7/1/2024 22:00,3317,3343,3422,79,79,,,,3343,3422,79,1834,1132,,,,,,,456,,,,,,,,,,,,,,,,,,,,,,,1834,1132,,,,,,,456,,,,,,,MIDW
AECI,7/1/2024,18,7/1/2024 18:00,7/1/2024 23:00,3408,3466,3527,61,61,,,,3466,3527,61,1963,1130,,,,,,,434,,,,,,,,,,,,,,,,,,,,,,,1963,1130,,,,,,,434,,,,,,,MIDW
AECI,7/1/2024,19,7/1/2024 19:00,7/2/2024 0:00,3403,3478,3377,-101,-101,,,,3478,3377,-101,1807,1130,,,,,,,440,,,,,,,,,,,,,,,,,,,,,,,1807,1130,,,,,,,440,,,,,,,MIDW
AECI,7/1/2024,20,7/1/2024 20:00,7/2/2024 1:00,3266,3333,3246,-87,-87,,,,3333,3246,-87,1641,1131,,,,,,,474,,,,,,,,,,,,,,,,,,,,,,,1641,1131,,,,,,,474,,,,,,,MIDW
AECI,7/1/2024,21,7/1/2024 21:00,7/2/2024 2:00,3061,3148,3066,-82,-82,,,,3148,3066,-82,1544,1047,,,,,,,475,,,,,,,,,,,,,,,,,,,,,,,1544,1047,,,,,,,475,,,,,,,MIDW
AECI,7/1/2024,22,7/1/2024 22:00,7/2/2024 3:00,2892,3031,3004,-27,-27,,,,3031,3004,-27,1593,915,,,,,,,496,,,,,,,,,,,,,,,,,,,,,,,1593,915,,,,,,,496,,,,,,,MIDW
AECI,7/1/2024,23,7/1/2024 23:00,7/2/2024 4:00,2624,2740,2941,201,201,,,,2740,2941,201,1538,912,,,,,,,491,,,,,,,,,,,,,,,,,,,,,,,1538,912,,,,,,,491,,,,,,,MIDW
AECI,7/1/2024,24,7/2/2024 0:00,7/2/2024 5:00,2340,2465,2632,167,167,,,,2465,2632,167,1261,879,,,,,,,491,,,,,,,,,,,,,,,,,,,,,,,1261,879,,,,,,,491,,,,,,,MIDW
AECI,7/2/2024,1,7/2/2024 1:00,7/2/2024 6:00,2188,2245,2265,20,20,,,,2245,2265,20,931,810,,,,,,,524,,,,,,,,,,,,,,,,,,,,,,,931,810,,,,,,,524,,,,,,,MIDW
AECI,7/2/2024,2,7/2/2024 2:00,7/2/2024 7:00,2037,2081,2154,73,73,,,,2081,2154,73,846,824,,,,,,,483,,,,,,,,,,,,,,,,,,,,,,,846,824,,,,,,,483,,,,,,,MIDW
AECI,7/2/2024,3,7/2/2024 3:00,7/2/2024 8:00,1932,1953,2065,112,112,,,,1953,2065,112,756,889,,,,,,,420,,,,,,,,,,,,,,,,,,,,,,,756,889,,,,,,,420,,,,,,,MIDW
AECI,7/2/2024,4,7/2/2024 4:00,7/2/2024 9:00,1865,1909,1971,62,62,,,,1909,1971,62,854,817,,,,,,,299,,,,,,,,,,,,,,,,,,,,,,,854,817,,,,,,,299,,,,,,,MIDW
AECI,7/2/2024,5,7/2/2024 5:00,7/2/2024 10:00,1864,1906,1933,27,27,,,,1906,1933,27,903,764,,,,,,,266,,,,,,,,,,,,,,,,,,,,,,,903,764,,,,,,,266,,,,,,,MIDW
AECI,7/2/2024,6,7/2/2024 6:00,7/2/2024 11:00,1912,1969,1924,-45,-45,,,,1969,1924,-45,901,828,,,,,,,195,,,,,,,,,,,,,,,,,,,,,,,901,828,,,,,,,195,,,,,,,MIDW
AECI,7/2/2024,7,7/2/2024 7:00,7/2/2024 12:00,2049,2079,1937,-142,-142,,,,2079,1937,-142,907,751,,,,,,,279,,,,,,,,,,,,,,,,,,,,,,,907,751,,,,,,,279,,,,,,,MIDW
AECI,7/2/2024,8,7/2/2024 8:00,7/2/2024 13:00,2215,2258,2089,-169,-169,,,,2258,2089,-169,982,673,,,,,,,433,,,,,,,,,,,,,,,,,,,,,,,982,673,,,,,,,433,,,,,,,MIDW
AECI,7/2/2024,9,7/2/2024 9:00,7/2/2024 14:00,2368,2475,2327,-148,-148,,,,2475,2327,-148,1037,842,,,,,,,449,,,,,,,,,,,,,,,,,,,,,,,1037,842,,,,,,,449,,,,,,,MIDW
AECI,7/2/2024,10,7/2/2024 10:00,7/2/2024 15:00,2583,2692,2538,-154,-154,,,,2692,2538,-154,1308,902,,,,,,,327,,,,,,,,,,,,,,,,,,,,,,,1308,902,,,,,,,327,,,,,,,MIDW
AECI,7/2/2024,11,7/2/2024 11:00,7/2/2024 16:00,2852,2979,2949,-30,-30,,,,2979,2949,-30,1570,1087,,,,,,,292,,,,,,,,,,,,,,,,,,,,,,,1570,1087,,,,,,,292,,,,,,,MIDW
AECI,7/2/2024,12,7/2/2024 12:00,7/2/2024 17:00,3140,3247,3186,-61,-61,,,,3247,3186,-61,1696,1133,,,,,,,357,,,,,,,,,,,,,,,,,,,,,,,1696,1133,,,,,,,357,,,,,,,MIDW
AECI,7/2/2024,13,7/2/2024 13:00,7/2/2024 18:00,3394,3517,3295,-222,-222,,,,3517,3295,-222,1778,1129,,,,,,,388,,,,,,,,,,,,,,,,,,,,,,,1778,1129,,,,,,,388,,,,,,,MIDW
AECI,7/2/2024,14,7/2/2024 14:00,7/2/2024 19:00,3632,3763,3468,-295,-295,,,,3763,3468,-295,1931,1168,,,,,,,369,,,,,,,,,,,,,,,,,,,,,,,1931,1168,,,,,,,369,,,,,,,MIDW
AECI,7/2/2024,15,7/2/2024 15:00,7/2/2024 20:00,3836,3951,3513,-438,-438,,,,3951,3513,-438,1998,1210,,,,,,,305,,,,,,,,,,,,,,,,,,,,,,,1998,1210,,,,,,,305,,,,,,,MIDW
AECI,7/2/2024,16,7/2/2024 16:00,7/2/2024 21:00,3994,4115,3494,-621,-621,,,,4115,3494,-621,1935,1279,,,,,,,279,,,,,,,,,,,,,,,,,,,,,,,1935,1279,,,,,,,279,,,,,,,MIDW
AECI,7/2/2024,17,7/2/2024 17:00,7/2/2024 22:00,4119,4223,3505,-718,-718,,,,4223,3505,-718,1983,1277,,,,,,,245,,,,,,,,,,,,,,,,,,,,,,,1983,1277,,,,,,,245,,,,,,,MIDW
AECI,7/2/2024,18,7/2/2024 18:00,7/2/2024 23:00,4148,4289,3475,-814,-814,,,,4289,3475,-814,1982,1266,,,,,,,227,,,,,,,,,,,,,,,,,,,,,,,1982,1266,,,,,,,227,,,,,,,MIDW
AECI,7/2/2024,19,7/2/2024 19:00,7/3/2024 0:00,4110,4245,3493,-752,-752,,,,4245,3493,-752,1957,1259,,,,,,,277,,,,,,,,,,,,,,,,,,,,,,,1957,1259,,,,,,,277,,,,,,,MIDW
AECI,7/2/2024,20,7/2/2024 20:00,7/3/2024 1:00,3929,4050,3386,-664,-664,,,,4050,3386,-664,1953,1262,,,,,,,171,,,,,,,,,,,,,,,,,,,,,,,1953,1262,,,,,,,171,,,,,,,MIDW
AECI,7/2/2024,21,7/2/2024 21:00,7/3/2024 2:00,3655,3802,3208,-594,-594,,,,3802,3208,-594,1896,1134,,,,,,,178,,,,,,,,,,,,,,,,,,,,,,,1896,1134,,,,,,,178,,,,,,,MIDW
AECI,7/2/2024,22,7/2/2024 22:00,7/3/2024 3:00,3445,3608,3225,-383,-383,,,,3608,3225,-383,1913,1129,,,,,,,183,,,,,,,,,,,,,,,,,,,,,,,1913,1129,,,,,,,183,,,,,,,MIDW
AECI,7/2/2024,23,7/2/2024 23:00,7/3/2024 4:00,3114,3292,3044,-248,-248,,,,3292,3044,-248,1783,1130,,,,,,,131,,,,,,,,,,,,,,,,,,,,,,,1783,1130,,,,,,,131,,,,,,,MIDW
AECI,7/2/2024,24,7/3/2024 0:00,7/3/2024 5:00,2775,2976,2862,-114,-114,,,,2976,2862,-114,1626,1120,,,,,,,116,,,,,,,,,,,,,,,,,,,,,,,1626,1120,,,,,,,116,,,,,,,MIDW
AECI,7/3/2024,1,7/3/2024 1:00,7/3/2024 6:00,2570,2676,2716,40,40,,,,2676,2716,40,1433,1115,,,,,,,167,,,,,,,,,,,,,,,,,,,,,,,1433,1115,,,,,,,167,,,,,,,MIDW
AECI,7/3/2024,2,7/3/2024 2:00,7/3/2024 7:00,2388,2510,2564,54,54,,,,2510,2564,54,1329,1099,,,,,,,136,,,,,,,,,,,,,,,,,,,,,,,1329,1099,,,,,,,136,,,,,,,MIDW
AECI,7/3/2024,3,7/3/2024 3:00,7/3/2024 8:00,2242,2374,2368,-6,-6,,,,2374,2368,-6,1200,1049,,,,,,,119,,,,,,,,,,,,,,,,,,,,,,,1200,1049,,,,,,,119,,,,,,,MIDW
AECI,7/3/2024,4,7/3/2024 4:00,7/3/2024 9:00,2181,2289,2294,5,5,,,,2289,2294,5,1178,1008,,,,,,,108,,,,,,,,,,,,,,,,,,,,,,,1178,1008,,,,,,,108,,,,,,,MIDW
AECI,7/3/2024,5,7/3/2024 5:00,7/3/2024 10:00,2147,2256,2337,81,81,,,,2256,2337,81,1218,1062,,,,,,,57,,,,,,,,,,,,,,,,,,,,,,,1218,1062,,,,,,,57,,,,,,,MIDW
AECI,7/3/2024,6,7/3/2024 6:00,7/3/2024 11:00,2180,2283,2215,-68,-68,,,,2283,2215,-68,1240,924,,,,,,,51,,,,,,,,,,,,,,,,,,,,,,,1240,924,,,,,,,51,,,,,,,MIDW
AECI,7/3/2024,7,7/3/2024 7:00,7/3/2024 12:00,2307,2369,2336,-33,-33,,,,2369,2336,-33,1250,1037,,,,,,,49,,,,,,,,,,,,,,,,,,,,,,,1250,1037,,,,,,,49,,,,,,,MIDW
AECI,7/3/2024,8,7/3/2024 8:00,7/3/2024 13:00,2463,2531,2601,70,70,,,,2531,2601,70,1419,1129,,,,,,,53,,,,,,,,,,,,,,,,,,,,,,,1419,1129,,,,,,,53,,,,,,,MIDW
AECI,7/3/2024,9,7/3/2024 9:00,7/3/2024 14:00,2615,2716,2912,196,196,,,,2716,2912,196,1747,1139,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,1747,1139,,,,,,,25,,,,,,,MIDW
AECI,7/3/2024,10,7/3/2024 10:00,7/3/2024 15:00,2834,2915,3119,204,204,,,,2915,3119,204,1973,1140,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,1973,1140,,,,,,,5,,,,,,,MIDW
AECI,7/3/2024,11,7/3/2024 11:00,7/3/2024 16:00,3061,3189,3004,-185,-185,,,,3189,3004,-185,1866,1138,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,1866,1138,,,,,,,0,,,,,,,MIDW
AECI,7/3/2024,12,7/3/2024 12:00,7/3/2024 17:00,3289,3348,2919,-429,-429,,,,3348,2919,-429,1785,1134,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,1785,1134,,,,,,,0,,,,,,,MIDW
AECI,7/3/2024,13,7/3/2024 13:00,7/3/2024 18:00,3485,3588,2991,-597,-597,,,,3588,2991,-597,1860,1131,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,1860,1131,,,,,,,0,,,,,,,MIDW
AECI,7/3/2024,14,7/3/2024 14:00,7/3/2024 19:00,3661,3738,2971,-767,-767,,,,3738,2971,-767,1844,1127,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,1844,1127,,,,,,,0,,,,,,,MIDW
AECI,7/3/2024,15,7/3/2024 15:00,7/3/2024 20:00,3746,3835,3149,-686,-686,,,,3835,3149,-686,1908,1236,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,1908,1236,,,,,,,5,,,,,,,MIDW
AECI,7/3/2024,16,7/3/2024 16:00,7/3/2024 21:00,3825,3886,3195,-691,-691,,,,3886,3195,-691,1867,1287,,,,,,,41,,,,,,,,,,,,,,,,,,,,,,,1867,1287,,,,,,,41,,,,,,,MIDW
AECI,7/3/2024,17,7/3/2024 17:00,7/3/2024 22:00,3845,3926,3324,-602,-602,,,,3926,3324,-602,1943,1349,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,1943,1349,,,,,,,32,,,,,,,MIDW
AECI,7/3/2024,18,7/3/2024 18:00,7/3/2024 23:00,3879,3910,3331,-579,-579,,,,3910,3331,-579,1966,1351,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,1966,1351,,,,,,,14,,,,,,,MIDW
AECI,7/3/2024,19,7/3/2024 19:00,7/4/2024 0:00,3806,3793,3240,-553,-553,,,,3793,3240,-553,1863,1345,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,1863,1345,,,,,,,32,,,,,,,MIDW
AECI,7/3/2024,20,7/3/2024 20:00,7/4/2024 1:00,3625,3538,3171,-367,-367,,,,3538,3171,-367,1743,1359,,,,,,,69,,,,,,,,,,,,,,,,,,,,,,,1743,1359,,,,,,,69,,,,,,,MIDW
AECI,7/3/2024,21,7/3/2024 21:00,7/4/2024 2:00,3401,3292,3172,-120,-120,,,,3292,3172,-120,1746,1319,,,,,,,107,,,,,,,,,,,,,,,,,,,,,,,1746,1319,,,,,,,107,,,,,,,MIDW
AECI,7/3/2024,22,7/3/2024 22:00,7/4/2024 3:00,3206,3189,3231,42,42,,,,3189,3231,42,1798,1324,,,,,,,109,,,,,,,,,,,,,,,,,,,,,,,1798,1324,,,,,,,109,,,,,,,MIDW
AECI,7/3/2024,23,7/3/2024 23:00,7/4/2024 4:00,2920,2942,3106,164,164,,,,2942,3106,164,1795,1169,,,,,,,142,,,,,,,,,,,,,,,,,,,,,,,1795,1169,,,,,,,142,,,,,,,MIDW
AECI,7/3/2024,24,7/4/2024 0:00,7/4/2024 5:00,2621,2694,2980,286,286,,,,2694,2980,286,1611,1111,,,,,,,258,,,,,,,,,,,,,,,,,,,,,,,1611,1111,,,,,,,258,,,,,,,MIDW
AECI,7/4/2024,1,7/4/2024 1:00,7/4/2024 6:00,2379,2466,2798,332,332,,,,2466,2798,332,1510,1106,,,,,,,182,,,,,,,,,,,,,,,,,,,,,,,1510,1106,,,,,,,182,,,,,,,MIDW
AECI,7/4/2024,2,7/4/2024 2:00,7/4/2024 7:00,2207,2282,2617,335,335,,,,2282,2617,335,1402,1039,,,,,,,176,,,,,,,,,,,,,,,,,,,,,,,1402,1039,,,,,,,176,,,,,,,MIDW
AECI,7/4/2024,3,7/4/2024 3:00,7/4/2024 8:00,2083,2159,2478,319,319,,,,2159,2478,319,1243,1126,,,,,,,109,,,,,,,,,,,,,,,,,,,,,,,1243,1126,,,,,,,109,,,,,,,MIDW
AECI,7/4/2024,4,7/4/2024 4:00,7/4/2024 9:00,1977,2068,2394,326,326,,,,2068,2394,326,1212,1083,,,,,,,99,,,,,,,,,,,,,,,,,,,,,,,1212,1083,,,,,,,99,,,,,,,MIDW
AECI,7/4/2024,5,7/4/2024 5:00,7/4/2024 10:00,1929,2042,2336,294,294,,,,2042,2336,294,1146,1042,,,,,,,148,,,,,,,,,,,,,,,,,,,,,,,1146,1042,,,,,,,148,,,,,,,MIDW
AECI,7/4/2024,6,7/4/2024 6:00,7/4/2024 11:00,1923,2009,2237,228,228,,,,2009,2237,228,1170,930,,,,,,,137,,,,,,,,,,,,,,,,,,,,,,,1170,930,,,,,,,137,,,,,,,MIDW
AECI,7/4/2024,7,7/4/2024 7:00,7/4/2024 12:00,1959,2049,2211,162,162,,,,2049,2211,162,1175,905,,,,,,,131,,,,,,,,,,,,,,,,,,,,,,,1175,905,,,,,,,131,,,,,,,MIDW
AECI,7/4/2024,8,7/4/2024 8:00,7/4/2024 13:00,2137,2195,2422,227,227,,,,2195,2422,227,1238,1176,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,1238,1176,,,,,,,8,,,,,,,MIDW
AECI,7/4/2024,9,7/4/2024 9:00,7/4/2024 14:00,2398,2467,2727,260,260,,,,2467,2727,260,1513,1210,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,1513,1210,,,,,,,4,,,,,,,MIDW
AECI,7/4/2024,10,7/4/2024 10:00,7/4/2024 15:00,2652,2805,3021,216,216,,,,2805,3021,216,1780,1235,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,1780,1235,,,,,,,6,,,,,,,MIDW
AECI,7/4/2024,11,7/4/2024 11:00,7/4/2024 16:00,2880,3158,3212,54,54,,,,3158,3212,54,1949,1246,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,1949,1246,,,,,,,17,,,,,,,MIDW
AECI,7/4/2024,12,7/4/2024 12:00,7/4/2024 17:00,3115,3512,3394,-118,-118,,,,3512,3394,-118,1897,1493,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,1897,1493,,,,,,,3,,,,,,,MIDW
AECI,7/4/2024,13,7/4/2024 13:00,7/4/2024 18:00,3335,3760,3452,-308,-308,,,,3760,3452,-308,1838,1609,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,1838,1609,,,,,,,5,,,,,,,MIDW
AECI,7/4/2024,14,7/4/2024 14:00,7/4/2024 19:00,3508,3939,3574,-365,-365,,,,3939,3574,-365,1935,1597,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,1935,1597,,,,,,,42,,,,,,,MIDW
AECI,7/4/2024,15,7/4/2024 15:00,7/4/2024 20:00,3619,4060,3488,-572,-572,,,,4060,3488,-572,1782,1603,,,,,,,103,,,,,,,,,,,,,,,,,,,,,,,1782,1603,,,,,,,103,,,,,,,MIDW
AECI,7/4/2024,16,7/4/2024 16:00,7/4/2024 21:00,3697,4148,3574,-574,-574,,,,4148,3574,-574,1857,1605,,,,,,,112,,,,,,,,,,,,,,,,,,,,,,,1857,1605,,,,,,,112,,,,,,,MIDW
AECI,7/4/2024,17,7/4/2024 17:00,7/4/2024 22:00,3748,4202,3547,-655,-655,,,,4202,3547,-655,1818,1577,,,,,,,152,,,,,,,,,,,,,,,,,,,,,,,1818,1577,,,,,,,152,,,,,,,MIDW
AECI,7/4/2024,18,7/4/2024 18:00,7/4/2024 23:00,3741,4247,3548,-699,-699,,,,4247,3548,-699,1854,1497,,,,,,,197,,,,,,,,,,,,,,,,,,,,,,,1854,1497,,,,,,,197,,,,,,,MIDW
AECI,7/4/2024,19,7/4/2024 19:00,7/5/2024 0:00,3637,4116,3483,-633,-633,,,,4116,3483,-633,1829,1443,,,,,,,211,,,,,,,,,,,,,,,,,,,,,,,1829,1443,,,,,,,211,,,,,,,MIDW
AECI,7/4/2024,20,7/4/2024 20:00,7/5/2024 1:00,3452,3837,3315,-522,-522,,,,3837,3315,-522,1804,1296,,,,,,,215,,,,,,,,,,,,,,,,,,,,,,,1804,1296,,,,,,,215,,,,,,,MIDW
AECI,7/4/2024,21,7/4/2024 21:00,7/5/2024 2:00,3218,3505,3110,-395,-395,,,,3505,3110,-395,1634,1155,,,,,,,321,,,,,,,,,,,,,,,,,,,,,,,1634,1155,,,,,,,321,,,,,,,MIDW
AECI,7/4/2024,22,7/4/2024 22:00,7/5/2024 3:00,2988,3224,3180,-44,-44,,,,3224,3180,-44,1670,1152,,,,,,,358,,,,,,,,,,,,,,,,,,,,,,,1670,1152,,,,,,,358,,,,,,,MIDW
AECI,7/4/2024,23,7/4/2024 23:00,7/5/2024 4:00,2726,3035,3048,13,13,,,,3035,3048,13,1668,992,,,,,,,388,,,,,,,,,,,,,,,,,,,,,,,1668,992,,,,,,,388,,,,,,,MIDW
AECI,7/4/2024,24,7/5/2024 0:00,7/5/2024 5:00,2461,2760,3006,246,246,,,,2760,3006,246,1691,937,,,,,,,378,,,,,,,,,,,,,,,,,,,,,,,1691,937,,,,,,,378,,,,,,,MIDW
AECI,7/5/2024,1,7/5/2024 1:00,7/5/2024 6:00,2278,2482,2689,207,207,,,,2482,2689,207,1471,939,,,,,,,279,,,,,,,,,,,,,,,,,,,,,,,1471,939,,,,,,,279,,,,,,,MIDW
AECI,7/5/2024,2,7/5/2024 2:00,7/5/2024 7:00,2121,2263,2486,223,223,,,,2263,2486,223,1254,928,,,,,,,304,,,,,,,,,,,,,,,,,,,,,,,1254,928,,,,,,,304,,,,,,,MIDW
AECI,7/5/2024,3,7/5/2024 3:00,7/5/2024 8:00,2010,2126,2351,225,225,,,,2126,2351,225,1154,823,,,,,,,374,,,,,,,,,,,,,,,,,,,,,,,1154,823,,,,,,,374,,,,,,,MIDW
AECI,7/5/2024,4,7/5/2024 4:00,7/5/2024 9:00,1930,2024,2267,243,243,,,,2024,2267,243,1147,723,,,,,,,397,,,,,,,,,,,,,,,,,,,,,,,1147,723,,,,,,,397,,,,,,,MIDW
AECI,7/5/2024,5,7/5/2024 5:00,7/5/2024 10:00,1895,1955,2210,255,255,,,,1955,2210,255,1066,766,,,,,,,378,,,,,,,,,,,,,,,,,,,,,,,1066,766,,,,,,,378,,,,,,,MIDW
AECI,7/5/2024,6,7/5/2024 6:00,7/5/2024 11:00,1930,1942,2189,247,247,,,,1942,2189,247,1064,775,,,,,,,350,,,,,,,,,,,,,,,,,,,,,,,1064,775,,,,,,,350,,,,,,,MIDW
AECI,7/5/2024,7,7/5/2024 7:00,7/5/2024 12:00,2031,2003,2285,282,282,,,,2003,2285,282,1073,836,,,,,,,376,,,,,,,,,,,,,,,,,,,,,,,1073,836,,,,,,,376,,,,,,,MIDW
AECI,7/5/2024,8,7/5/2024 8:00,7/5/2024 13:00,2157,2148,2364,216,216,,,,2148,2364,216,1137,888,,,,,,,339,,,,,,,,,,,,,,,,,,,,,,,1137,888,,,,,,,339,,,,,,,MIDW
AECI,7/5/2024,9,7/5/2024 9:00,7/5/2024 14:00,2286,2394,2617,223,223,,,,2394,2617,223,1333,945,,,,,,,339,,,,,,,,,,,,,,,,,,,,,,,1333,945,,,,,,,339,,,,,,,MIDW
